date,PM2.5,temp,press,humitidy,wnd_dir,wnd_spd
0,-2.1,-2.1,1017.19,52.95,319.84,4.04
1,-1.98,-1.98,1017.41,51.75,328.58,6.42
2,-1.8,-1.8,1017.56,49.07,332.78,8.3
3,-1.62,-1.62,1017.7,46.39,335.42,10.2
4,-1.45,-1.45,1017.85,43.71,337.23,12.12
5,-1.75,-1.75,1018.09,44.21,337.07,12.03
6,-2.05,-2.05,1018.34,44.71,336.9,11.93
7,-2.34,-2.34,1018.59,45.21,336.73,11.84
8,-2.69,-2.69,1019.03,45.56,335.39,10.72
9,-3.03,-3.03,1019.48,45.91,333.74,9.61
10,-3.37,-3.37,1019.93,46.26,331.65,8.51
11,-1.01,-1.01,1020.14,39.48,328.22,7.27
12,1.36,1.36,1020.35,32.69,323.41,6.06
13,3.72,3.72,1020.56,25.9,316.3,4.92
14,4.54,4.54,1020.03,25.17,284.58,2.3
15,5.36,5.36,1019.51,24.43,203.51,2.62
16,6.18,6.18,1018.98,23.69,178.59,5.38
17,4.17,4.17,1018.77,30.97,185.24,6.37
18,2.16,2.16,1018.55,38.25,190.06,7.42
19,0.15,0.15,1018.33,45.53,193.67,8.51
20,-0.41,-0.41,1018.35,49.41,198.82,8.19
21,-0.97,-0.97,1018.36,53.29,204.34,7.94
22,-1.53,-1.53,1018.38,57.18,210.16,7.77
23,-1.81,-1.81,1017.98,59.18,208.25,7.53
24,-2.09,-2.09,1017.58,61.19,206.21,7.3
25,-2.37,-2.37,1017.19,63.2,204.04,7.09
26,-2.64,-2.64,1017.03,63.51,195.73,5.74
27,-2.92,-2.92,1016.86,63.83,182.8,4.58
28,-3.19,-3.19,1016.7,64.14,162.98,3.79
29,-3.46,-3.46,1016.42,65.32,144.52,3.37
30,-3.74,-3.74,1016.14,66.5,123.71,3.37
31,-4.01,-4.01,1015.86,67.68,105.28,3.79
32,-4.1,-4.1,1015.85,68.02,105.45,2.74
33,-4.18,-4.18,1015.83,68.36,105.82,1.69
34,-4.27,-4.27,1015.82,68.69,107.4,0.64
35,-1.65,-1.65,1015.83,58.59,174.16,0.16
36,0.98,0.98,1015.84,48.49,258.55,0.59
37,3.6,3.6,1015.84,38.38,266.09,1.18
38,5.11,5.11,1015.35,34.92,282.06,1.03
39,6.63,6.63,1014.86,31.46,301.35,0.98
40,8.14,8.14,1014.36,27.99,320.3,1.05
41,5.65,5.65,1014.32,35.81,217.88,1.68
42,3.16,3.16,1014.28,43.63,201.89,3.73
43,0.66,0.66,1014.24,51.45,197.37,5.86
44,0.17,0.17,1014.81,51.79,209.65,5.05
45,-0.33,-0.33,1015.38,52.12,225.53,4.55
46,-0.83,-0.83,1015.95,52.46,243.57,4.47
47,-1.09,-1.09,1016.28,54.46,233.17,4.08
48,-1.35,-1.35,1016.62,56.47,221.09,3.85
49,-1.61,-1.61,1016.95,58.47,208.14,3.81
50,-1.78,-1.78,1017.09,61.57,197.32,1.87
51,-1.96,-1.96,1017.23,64.68,106.49,0.72
52,-2.13,-2.13,1017.36,67.78,54.5,2.37
53,-2.27,-2.27,1017.42,66.94,68.7,3.05
54,-2.42,-2.42,1017.48,66.1,77.4,3.84
55,-2.56,-2.56,1017.53,65.26,83.03,4.7
56,-2.8,-2.8,1017.79,66.53,94.81,3.98
57,-3.03,-3.03,1018.04,67.8,110.7,3.5
58,-3.26,-3.26,1018.3,69.07,129.66,3.36
59,-0.65,-0.65,1018.59,57.92,138.25,3.84
60,1.97,1.97,1018.89,46.78,144.79,4.4
61,4.59,4.59,1019.18,35.64,149.81,5.0
62,5.27,5.27,1018.68,34.66,142.69,5.63
63,5.96,5.96,1018.18,33.68,137.09,6.34
64,6.65,6.65,1017.68,32.69,132.63,7.09
65,4.49,4.49,1017.94,40.28,121.07,6.61
66,2.33,2.33,1018.2,47.87,108.29,6.42
67,0.17,0.17,1018.47,55.46,95.44,6.57
68,-0.31,-0.31,1018.89,55.7,81.3,6.04
69,-0.78,-0.78,1019.31,55.95,65.58,5.92
70,-1.26,-1.26,1019.73,56.2,50.42,6.25
71,-1.42,-1.42,1020.06,57.73,49.02,6.17
72,-1.58,-1.58,1020.4,59.25,47.58,6.09
73,-1.74,-1.74,1020.73,60.78,46.11,6.02
74,-1.83,-1.83,1020.93,62.83,49.51,5.72
75,-1.92,-1.92,1021.13,64.87,53.27,5.45
76,-2.02,-2.02,1021.32,66.92,57.42,5.2
77,-2.26,-2.26,1021.61,70.15,54.5,4.85
78,-2.5,-2.5,1021.9,73.39,51.13,4.51
79,-2.75,-2.75,1022.18,76.63,47.25,4.19
80,-2.31,-2.31,1022.71,73.28,35.08,4.01
81,-1.87,-1.87,1023.24,69.93,22.4,4.02
82,-1.43,-1.43,1023.76,66.58,10.37,4.23
83,-0.3,-0.3,1023.88,62.01,21.62,4.14
84,0.83,0.83,1024.0,57.44,32.91,4.21
85,1.96,1.96,1024.12,52.87,43.42,4.44
86,2.51,2.51,1023.67,51.64,66.28,3.85
87,3.07,3.07,1023.22,50.41,91.79,4.01
88,3.62,3.62,1022.77,49.18,111.89,4.83
89,1.92,1.92,1022.7,54.17,112.3,5.01
90,0.22,0.22,1022.63,59.16,112.68,5.18
91,-1.48,-1.48,1022.56,64.14,113.04,5.36
92,-1.89,-1.89,1022.78,64.66,120.21,4.72
93,-2.29,-2.29,1023.0,65.17,129.42,4.18
94,-2.7,-2.7,1023.22,65.68,140.97,3.77
95,-2.68,-2.68,1023.05,69.05,165.48,3.84
96,-2.66,-2.66,1022.88,72.41,185.74,4.52
97,-2.63,-2.63,1022.72,75.78,199.46,5.6
98,-2.96,-2.96,1022.45,78.4,197.99,4.58
99,-3.29,-3.29,1022.17,81.03,195.69,3.56
100,-3.61,-3.61,1021.9,83.65,191.56,2.56
101,-3.8,-3.8,1021.61,84.56,170.63,1.79
102,-4.0,-4.0,1021.32,85.46,133.21,1.5
103,-4.19,-4.19,1021.02,86.37,98.7,1.92
104,-4.21,-4.21,1021.04,86.44,99.64,1.88
105,-4.24,-4.24,1021.05,86.51,100.62,1.85
106,-4.27,-4.27,1021.07,86.58,101.64,1.81
107,-2.13,-2.13,1020.95,76.76,125.77,2.09
108,0.01,0.01,1020.82,66.94,142.04,2.64
109,2.14,2.14,1020.7,57.12,152.21,3.32
110,2.92,2.92,1019.86,55.82,155.71,3.74
111,3.7,3.7,1019.03,54.52,158.5,4.17
112,4.47,4.47,1018.19,53.22,160.76,4.6
113,2.53,2.53,1017.94,63.42,155.89,4.46
114,0.59,0.59,1017.69,73.63,150.74,4.35
115,-1.36,-1.36,1017.45,83.83,145.37,4.28
116,-1.78,-1.78,1017.57,84.74,138.64,3.27
117,-2.19,-2.19,1017.69,85.64,126.31,2.35
118,-2.61,-2.61,1017.82,86.55,101.31,1.65
119,-2.7,-2.7,1017.75,86.66,95.96,1.88
120,-2.8,-2.8,1017.69,86.77,91.77,2.11
121,-2.89,-2.89,1017.63,86.88,88.44,2.36
122,-3.07,-3.07,1017.53,87.11,75.59,2.18
123,-3.25,-3.25,1017.44,87.35,61.26,2.12
124,-3.43,-3.43,1017.35,87.59,47.06,2.2
125,-3.4,-3.4,1017.14,87.53,39.88,2.49
126,-3.37,-3.37,1016.94,87.46,34.29,2.82
127,-3.34,-3.34,1016.73,87.4,29.9,3.17
128,-3.33,-3.33,1016.85,87.12,23.62,3.05
129,-3.32,-3.32,1016.97,86.84,16.92,2.97
130,-3.31,-3.31,1017.09,86.56,9.97,2.94
131,-1.0,-1.0,1017.0,76.89,6.72,3.74
132,1.31,1.31,1016.91,67.23,4.61,4.55
133,3.62,3.62,1016.83,57.56,3.15,5.36
134,3.92,3.92,1016.54,58.72,27.05,4.76
135,4.22,4.22,1016.26,59.88,52.28,5.1
136,4.52,4.52,1015.98,61.04,71.27,6.23
137,3.21,3.21,1016.04,69.2,82.19,6.54
138,1.91,1.91,1016.09,77.36,91.81,7.06
139,0.6,0.6,1016.15,85.52,99.92,7.75
140,-0.58,-0.58,1016.39,88.13,99.96,6.31
141,-1.76,-1.76,1016.63,90.73,100.02,4.87
142,-2.93,-2.93,1016.86,93.33,100.12,3.43
143,-3.11,-3.11,1016.81,92.34,107.75,1.83
144,-3.28,-3.28,1016.76,91.35,167.07,0.53
145,-3.45,-3.45,1016.7,90.36,252.61,1.58
146,-3.39,-3.39,1016.49,84.89,279.61,3.0
147,-3.32,-3.32,1016.28,79.41,288.49,4.65
148,-3.25,-3.25,1016.07,73.94,292.68,6.35
149,-3.34,-3.34,1016.03,70.24,301.14,6.96
150,-3.42,-3.42,1015.99,66.54,308.1,7.7
151,-3.51,-3.51,1015.95,62.84,313.79,8.53
152,-3.58,-3.58,1015.88,61.83,315.53,8.57
153,-3.66,-3.66,1015.81,60.82,317.25,8.61
154,-3.74,-3.74,1015.75,59.8,318.96,8.67
155,-1.59,-1.59,1015.57,51.82,315.62,8.73
156,0.55,0.55,1015.39,43.84,312.34,8.83
157,2.7,2.7,1015.21,35.86,309.14,8.95
158,3.68,3.68,1014.55,34.1,309.45,9.91
159,4.67,4.67,1013.88,32.34,309.71,10.87
160,5.65,5.65,1013.22,30.58,309.92,11.83
161,3.79,3.79,1013.34,35.62,307.71,10.98
162,1.92,1.92,1013.46,40.67,305.12,10.14
163,0.05,0.05,1013.58,45.72,302.07,9.32
164,-0.43,-0.43,1014.1,46.67,310.14,9.79
165,-0.91,-0.91,1014.62,47.62,317.36,10.43
166,-1.39,-1.39,1015.14,48.57,323.66,11.21
167,-1.61,-1.61,1015.8,49.47,329.13,11.58
168,-1.83,-1.83,1016.46,50.37,334.22,12.04
169,-2.05,-2.05,1017.11,51.27,338.91,12.59
170,-2.36,-2.36,1017.9,51.33,340.75,13.17
171,-2.68,-2.68,1018.7,51.39,342.44,13.76
172,-3.0,-3.0,1019.49,51.46,343.99,14.36
173,-3.33,-3.33,1019.75,51.28,343.65,14.37
174,-3.65,-3.65,1020.02,51.1,343.31,14.38
175,-3.98,-3.98,1020.29,50.92,342.97,14.39
176,-4.36,-4.36,1020.45,51.55,345.65,13.21
177,-4.73,-4.73,1020.61,52.18,348.85,12.07
178,-5.11,-5.11,1020.77,52.81,352.7,10.97
179,-3.41,-3.41,1020.7,45.52,355.8,9.25
180,-1.71,-1.71,1020.64,38.23,0.27,7.57
181,-0.02,-0.02,1020.57,30.94,7.22,5.97
182,0.83,0.83,1019.63,29.09,349.16,1.34
183,1.67,1.67,1018.68,27.24,200.85,3.52
184,2.52,2.52,1017.74,25.38,195.94,8.22
185,1.21,1.21,1017.28,30.0,196.89,9.57
186,-0.1,-0.1,1016.83,34.61,197.61,10.92
187,-1.41,-1.41,1016.38,39.22,198.17,12.27
188,-1.99,-1.99,1016.5,41.17,209.96,10.98
189,-2.56,-2.56,1016.62,43.12,224.1,10.27
190,-3.14,-3.14,1016.74,45.08,239.3,10.24
191,-3.23,-3.23,1017.3,44.67,252.11,8.58
192,-3.32,-3.32,1017.85,44.26,269.65,7.53
193,-3.41,-3.41,1018.41,43.85,290.25,7.35
194,-3.54,-3.54,1019.02,42.97,318.02,7.58
195,-3.66,-3.66,1019.63,42.08,339.62,9.3
196,-3.79,-3.79,1020.25,41.2,353.18,11.89
197,-4.18,-4.18,1020.99,41.98,357.34,12.07
198,-4.57,-4.57,1021.72,42.76,1.35,12.32
199,-4.96,-4.96,1022.46,43.54,5.19,12.61
200,-5.2,-5.2,1022.95,43.28,3.44,12.0
201,-5.45,-5.45,1023.43,43.03,1.49,11.4
202,-5.69,-5.69,1023.92,42.78,359.34,10.81
203,-3.79,-3.79,1023.97,35.92,345.12,11.99
204,-1.9,-1.9,1024.02,29.07,334.01,13.77
205,-0.0,-0.0,1024.07,22.22,325.66,15.93
206,0.84,0.84,1023.58,20.43,316.76,15.5
207,1.68,1.68,1023.08,18.64,307.57,15.46
208,2.52,2.52,1022.59,16.86,298.58,15.82
209,0.82,0.82,1022.19,21.22,289.24,11.31
210,-0.87,-0.87,1021.79,25.58,269.18,7.48
211,-2.57,-2.57,1021.38,29.94,227.28,5.81
212,-2.83,-2.83,1021.6,31.78,231.97,6.88
213,-3.09,-3.09,1021.81,33.63,235.37,7.99
214,-3.34,-3.34,1022.02,35.47,237.95,9.11
215,-3.8,-3.8,1021.96,36.14,246.33,7.76
216,-4.25,-4.25,1021.9,36.8,257.89,6.63
217,-4.71,-4.71,1021.84,37.47,273.24,5.87
218,-5.11,-5.11,1021.64,38.29,275.62,5.1
219,-5.5,-5.5,1021.44,39.12,278.85,4.34
220,-5.9,-5.9,1021.23,39.94,283.43,3.59
221,-6.25,-6.25,1020.94,40.72,282.55,3.11
222,-6.59,-6.59,1020.64,41.51,281.34,2.62
223,-6.94,-6.94,1020.35,42.29,279.58,2.14
224,-7.01,-7.01,1020.1,42.3,287.29,2.43
225,-7.07,-7.07,1019.86,42.3,293.28,2.75
226,-7.14,-7.14,1019.62,42.3,297.97,3.09
227,-4.43,-4.43,1019.4,35.64,296.68,3.13
228,-1.71,-1.71,1019.18,28.98,295.42,3.16
229,1.0,1.0,1018.96,22.32,294.18,3.19
230,2.32,2.32,1018.29,20.44,288.76,3.65
231,3.64,3.64,1017.62,18.56,284.59,4.14
232,4.96,4.96,1016.95,16.68,281.3,4.64
233,2.75,2.75,1016.53,20.89,280.22,4.41
234,0.54,0.54,1016.11,25.09,279.02,4.17
235,-1.67,-1.67,1015.69,29.3,277.67,3.94
236,-1.76,-1.76,1015.91,31.7,311.51,5.36
237,-1.84,-1.84,1016.12,34.1,327.94,7.76
238,-1.92,-1.92,1016.33,36.51,336.25,10.49
239,-2.18,-2.18,1016.46,38.77,334.39,10.45
240,-2.43,-2.43,1016.59,41.03,332.51,10.41
241,-2.69,-2.69,1016.73,43.29,330.62,10.39
242,-2.97,-2.97,1016.75,43.9,334.94,10.59
243,-3.24,-3.24,1016.78,44.51,339.07,10.85
244,-3.51,-3.51,1016.8,45.11,342.99,11.16
245,-3.88,-3.88,1016.74,45.72,342.79,10.87
246,-4.24,-4.24,1016.68,46.33,342.58,10.57
247,-4.6,-4.6,1016.62,46.94,342.36,10.28
248,-4.88,-4.88,1016.55,47.37,340.17,9.35
249,-5.15,-5.15,1016.48,47.8,337.51,8.44
250,-5.43,-5.43,1016.42,48.23,334.21,7.55
251,-3.09,-3.09,1015.85,41.53,327.65,5.74
252,-0.74,-0.74,1015.29,34.82,315.38,4.06
253,1.6,1.6,1014.72,28.12,289.53,2.8
254,2.6,2.6,1013.97,25.94,256.84,3.94
255,3.61,3.61,1013.22,23.76,241.58,5.74
256,4.61,4.61,1012.48,21.58,233.88,7.74
257,2.76,2.76,1012.16,26.45,229.89,7.5
258,0.91,0.91,1011.84,31.31,225.67,7.29
259,-0.94,-0.94,1011.52,36.18,221.22,7.13
260,-1.2,-1.2,1011.99,35.95,258.94,4.92
261,-1.46,-1.46,1012.46,35.72,305.03,6.06
262,-1.72,-1.72,1012.93,35.48,327.2,9.39
263,-1.83,-1.83,1013.29,36.67,333.11,10.63
264,-1.93,-1.93,1013.65,37.86,337.74,11.96
265,-2.04,-2.04,1014.0,39.05,341.43,13.35
266,-2.71,-2.71,1014.59,38.94,348.04,12.38
267,-3.39,-3.39,1015.17,38.83,355.66,11.59
268,-4.06,-4.06,1015.76,38.73,4.21,11.04
269,-4.47,-4.47,1016.15,38.1,5.04,11.26
270,-4.87,-4.87,1016.53,37.47,5.84,11.47
271,-5.28,-5.28,1016.92,36.84,6.61,11.69
272,-5.59,-5.59,1017.46,36.46,4.84,11.34
273,-5.9,-5.9,1018.0,36.08,2.96,11.0
274,-6.21,-6.21,1018.53,35.7,0.96,10.67
275,-4.41,-4.41,1018.96,29.75,346.44,13.52
276,-2.61,-2.61,1019.38,23.8,337.35,16.93
277,-0.81,-0.81,1019.81,17.85,331.4,20.61
278,0.03,0.03,1019.45,16.06,330.29,20.01
279,0.88,0.88,1019.09,14.28,329.11,19.42
280,1.73,1.73,1018.74,12.49,327.86,18.84
281,0.45,0.45,1018.81,14.27,331.56,16.07
282,-0.83,-0.83,1018.89,16.05,336.77,13.39
283,-2.1,-2.1,1018.96,17.83,344.47,10.88
284,-2.95,-2.95,1019.45,19.8,344.55,10.81
285,-3.8,-3.8,1019.94,21.78,344.64,10.74
286,-4.65,-4.65,1020.42,23.76,344.73,10.66
287,-5.05,-5.05,1020.95,25.23,348.3,10.09
288,-5.45,-5.45,1021.47,26.7,352.29,9.57
289,-5.85,-5.85,1021.99,28.17,356.72,9.09
290,-6.22,-6.22,1022.37,28.2,356.26,9.21
291,-6.58,-6.58,1022.75,28.22,355.81,9.33
292,-6.94,-6.94,1023.12,28.25,355.38,9.45
293,-7.32,-7.32,1023.43,27.99,357.28,9.06
294,-7.71,-7.71,1023.74,27.73,359.36,8.68
295,-8.09,-8.09,1024.04,27.47,1.62,8.31
296,-8.33,-8.33,1024.62,27.14,3.63,7.88
297,-8.58,-8.58,1025.2,26.82,5.87,7.46
298,-8.82,-8.82,1025.77,26.49,8.38,7.05
299,-6.74,-6.74,1026.0,22.8,25.78,5.95
300,-4.65,-4.65,1026.22,19.11,48.0,5.58
301,-2.56,-2.56,1026.45,15.42,69.7,6.08
302,-1.75,-1.75,1026.15,15.07,87.68,6.77
303,-0.95,-0.95,1025.86,14.72,101.29,7.98
304,-0.14,-0.14,1025.56,14.38,110.92,9.52
305,-1.44,-1.44,1025.67,17.37,109.72,8.66
306,-2.75,-2.75,1025.79,20.36,108.24,7.8
307,-4.05,-4.05,1025.9,23.36,106.41,6.94
308,-4.68,-4.68,1026.61,24.63,101.97,6.88
309,-5.31,-5.31,1027.32,25.9,97.49,6.86
310,-5.94,-5.94,1028.03,27.18,93.0,6.88
311,-6.32,-6.32,1028.13,36.77,102.13,6.26
312,-6.7,-6.7,1028.23,46.36,112.94,5.82
313,-7.07,-7.07,1028.33,55.95,124.97,5.63
314,-7.4,-7.4,1028.52,63.53,132.66,5.02
315,-7.73,-7.73,1028.7,71.1,142.26,4.52
316,-8.05,-8.05,1028.89,78.68,153.82,4.17
317,-8.36,-8.36,1028.76,80.59,157.74,3.74
318,-8.66,-8.66,1028.63,82.5,162.66,3.33
319,-8.96,-8.96,1028.49,84.41,168.89,2.95
320,-9.1,-9.1,1028.24,84.51,155.43,2.38
321,-9.23,-9.23,1028.0,84.61,135.4,2.01
322,-9.36,-9.36,1027.75,84.71,110.8,1.96
323,-7.42,-7.42,1027.4,75.51,138.89,2.35
324,-5.48,-5.48,1027.05,66.3,156.14,3.11
325,-3.54,-3.54,1026.7,57.1,166.08,4.03
326,-2.69,-2.69,1025.64,52.82,174.79,5.21
327,-1.85,-1.85,1024.59,48.54,180.22,6.45
328,-1.01,-1.01,1023.53,44.26,183.87,7.74
329,-2.13,-2.13,1023.21,48.14,179.94,6.5
330,-3.25,-3.25,1022.89,52.03,174.21,5.31
331,-4.37,-4.37,1022.57,55.91,165.3,4.19
332,-4.92,-4.92,1022.76,58.76,136.18,2.07
333,-5.46,-5.46,1022.95,61.61,59.26,2.1
334,-6.01,-6.01,1023.14,64.45,30.83,4.23
335,-6.16,-6.16,1023.3,66.21,37.76,4.75
336,-6.32,-6.32,1023.47,67.97,43.27,5.32
337,-6.47,-6.47,1023.63,69.72,47.68,5.93
338,-6.63,-6.63,1023.67,70.7,50.01,5.72
339,-6.8,-6.8,1023.7,71.68,52.5,5.52
340,-6.96,-6.96,1023.73,72.66,55.19,5.33
341,-6.98,-6.98,1023.73,72.33,47.05,5.35
342,-7.0,-7.0,1023.73,72.01,39.14,5.49
343,-7.02,-7.02,1023.73,71.68,31.74,5.72
344,-7.14,-7.14,1024.0,72.47,28.38,5.65
345,-7.26,-7.26,1024.27,73.25,24.95,5.61
346,-7.39,-7.39,1024.54,74.03,21.47,5.58
347,-5.56,-5.56,1024.86,66.99,35.91,5.2
348,-3.74,-3.74,1025.19,59.94,51.49,5.19
349,-1.92,-1.92,1025.51,52.89,66.09,5.54
350,-1.17,-1.17,1024.76,50.44,82.14,5.4
351,-0.43,-0.43,1024.01,47.99,97.76,5.69
352,0.32,0.32,1023.26,45.53,111.02,6.34
353,-1.07,-1.07,1023.18,51.35,107.56,5.29
354,-2.45,-2.45,1023.1,57.16,102.4,4.27
355,-3.84,-3.84,1023.02,62.98,94.12,3.3
356,-4.17,-4.17,1023.35,65.25,72.26,3.85
357,-4.5,-4.5,1023.68,67.51,57.44,4.8
