date,PM2.5,temp,press,humitidy,wnd_dir,wnd_spd
24,94.0,6.03,1013.61,23.23,348.43,1.53
25,97.0,7.82,1013.21,21.58,312.71,1.66
26,95.0,9.61,1012.8,19.92,289.51,2.26
27,92.0,11.4,1012.4,18.27,277.21,3.07
28,96.0,13.12,1011.73,17.21,240.34,3.07
29,94.0,14.83,1011.06,16.14,213.82,4.12
30,92.0,16.55,1010.39,15.08,199.81,5.66
31,83.0,17.05,1009.62,15.12,193.79,7.64
32,72.0,17.55,1008.84,15.16,190.27,9.67
33,77.0,18.04,1008.06,15.2,187.98,11.72
34,73.0,16.59,1008.46,17.72,190.37,10.96
35,70.0,15.13,1008.86,20.24,193.1,10.22
36,74.0,13.67,1009.26,22.76,196.26,9.5
37,71.0,13.01,1009.5,24.71,190.1,10.18
38,78.0,12.35,1009.74,26.66,184.76,10.96
39,87.0,11.68,1009.98,28.61,180.17,11.82
40,93.0,10.98,1010.06,30.99,173.73,10.36
41,110.0,10.29,1010.14,33.37,165.34,9.07
42,138.0,9.59,1010.22,35.74,154.48,8.03
43,149.0,9.01,1010.22,37.57,146.77,6.6
44,151.0,8.43,1010.22,39.39,135.15,5.35
45,155.0,7.85,1010.23,41.21,117.73,4.44
46,162.0,8.41,1010.72,40.22,98.24,3.92
47,154.0,8.96,1011.22,39.22,76.17,3.94
